DATE,II,III
2018-01-01,320863,542048
2018-02-01,294801,582308
2018-03-01,330557,565977
2018-04-01,348396,576048
2018-05-01,374258,591221
2018-06-01,333603,610678
2018-07-01,329423,620971
2018-08-01,382073,604811
2018-09-01,410668,595678
2018-10-01,401374,674882
2018-11-01,412910,656761
2018-12-01,335779,574173
2019-01-01,372034,862557
2019-02-01,405290,861087
2019-03-01,444181,757894
2019-04-01,401575,765379
2019-05-01,314507,651522
2019-06-01,353310,680729
2019-07-01,288864,530676
2019-08-01,297763,538047
2019-09-01,303514,559040
2019-10-01,206783,353238
2019-11-01,173836,255721
2019-12-01,209974,296831
2020-01-01,188293,306649
2020-02-01,226815,313124
2020-03-01,122850,193707
2020-04-01,40004,45734
2020-05-01,47904,50918
2020-06-01,57963,56354
2020-07-01,107008,95791
2020-08-01,136330,114023
2020-09-01,145000,129903
2020-10-01,170063,144095
2020-11-01,193386,194275
2020-12-01,182290,167770
2021-01-01,225762,187818
2021-02-01,185117,163397
2021-03-01,216232,197273
2021-04-01,278557,191799
2021-05-01,261267,222069
2021-06-01,223155,231893
2021-07-01,265815,286804
2021-08-01,260806,302710
2021-09-01,297262,303204
2021-10-01,340560,304117
2021-11-01,376956,314380
2021-12-01,359651,317120
2022-01-01,406334,346439
2022-02-01,340793,295595
